,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1963-07-01,-0.67,0.02,-0.35,0.03,0.13,0.012,-0.21
1963-07-02,0.79,-0.28,0.28,-0.08,-0.21,0.012,0.42
1963-07-03,0.63,-0.18,-0.1,0.13,-0.25,0.012,0.41
1963-07-05,0.4,0.09,-0.28,0.07,-0.3,0.012,0.07
1963-07-08,-0.63,0.07,-0.2,-0.27,0.06,0.012,-0.45
1963-07-09,0.45,0.0,0.09,0.15,-0.01,0.012,0.44
1963-07-10,-0.18,0.2,0.0,0.05,-0.09,0.012,0.16
1963-07-11,-0.16,0.12,-0.29,-0.03,0.07,0.012,-0.12
1963-07-12,-0.12,0.01,-0.09,0.09,0.08,0.012,-0.17
1963-07-15,-0.62,0.07,-0.03,0.15,-0.1,0.012,-0.25
1963-07-16,-0.07,-0.06,0.13,-0.04,-0.1,0.012,0.11
1963-07-17,-0.33,-0.08,0.12,0.04,0.08,0.012,0.03
1963-07-18,-0.54,0.26,0.07,-0.07,0.21,0.012,-0.02
1963-07-19,-0.23,-0.03,-0.06,0.16,-0.34,0.012,-0.12
1963-07-22,-0.7,-0.1,-0.35,0.03,-0.14,0.012,-0.44
1963-07-23,0.01,-0.1,-0.19,0.03,-0.09,0.012,0.0
1963-07-24,0.46,-0.11,-0.03,-0.12,-0.25,0.012,0.42
1963-07-25,-0.04,0.14,0.28,-0.15,0.13,0.012,0.07
1963-07-26,0.35,-0.13,0.07,0.0,-0.14,0.012,0.27
1963-07-29,0.11,-0.18,0.24,0.03,-0.03,0.012,0.21
1963-07-30,0.84,-0.27,-0.26,0.48,-0.32,0.012,0.51
1963-07-31,-0.13,0.11,-0.03,-0.13,0.3,0.012,0.01
1963-08-01,-0.08,-0.12,-0.13,0.13,-0.08,0.011,-0.03
1963-08-02,0.29,-0.14,0.16,-0.05,0.03,0.011,0.11
1963-08-05,0.57,-0.42,0.16,0.01,0.08,0.011,0.17
1963-08-06,0.6,-0.36,0.25,-0.02,-0.04,0.011,0.24
1963-08-07,-0.19,0.01,0.18,-0.16,0.14,0.011,0.12
1963-08-08,0.14,-0.02,-0.24,0.25,-0.22,0.011,0.18
1963-08-09,0.6,-0.1,-0.02,0.15,-0.02,0.011,0.12
1963-08-12,0.24,0.2,0.45,-0.09,0.35,0.011,-0.13
1963-08-13,0.27,-0.24,0.01,0.05,-0.04,0.011,0.04
1963-08-14,0.3,-0.06,0.21,-0.19,0.09,0.011,-0.21
1963-08-15,0.43,-0.29,0.37,-0.16,0.0,0.011,0.29
1963-08-16,0.15,0.07,0.09,0.09,-0.19,0.011,0.18
1963-08-19,-0.05,-0.01,-0.09,-0.08,0.0,0.011,0.29
1963-08-20,-0.05,0.01,-0.24,0.03,0.09,0.011,0.06
1963-08-21,-0.11,0.34,-0.1,-0.05,0.08,0.011,-0.13
1963-08-22,0.39,0.08,0.12,-0.12,-0.26,0.011,-0.41
1963-08-23,0.34,-0.02,0.11,0.04,-0.02,0.011,-0.02
1963-08-26,0.18,-0.12,0.17,0.09,-0.22,0.011,-0.17
1963-08-27,-0.44,0.09,-0.1,0.04,0.09,0.011,0.14
1963-08-28,0.77,0.08,0.43,0.06,0.22,0.011,0.32
1963-08-29,0.18,0.13,0.0,0.1,0.05,0.011,-0.49
1963-08-30,0.44,0.15,-0.13,0.15,-0.21,0.011,-0.11
1963-09-03,0.23,0.07,0.07,-0.01,0.17,0.014,0.04
1963-09-04,-0.01,0.06,-0.06,-0.35,0.01,0.014,-0.25
1963-09-05,0.47,-0.09,0.14,-0.09,0.0,0.014,0.08
1963-09-06,-0.27,-0.17,0.01,0.14,0.02,0.014,-0.14
1963-09-09,-0.36,-0.25,-0.04,0.09,0.12,0.014,0.06
1963-09-10,0.52,-0.13,0.43,-0.01,-0.16,0.014,0.3
1963-09-11,0.24,-0.23,0.21,-0.13,0.35,0.014,0.03
1963-09-12,-0.09,0.11,-0.14,-0.17,-0.24,0.014,0.13
1963-09-13,0.02,0.37,-0.17,-0.28,0.1,0.014,-0.09
1963-09-16,-0.16,0.08,0.18,-0.05,-0.19,0.014,0.44
1963-09-17,0.03,-0.17,0.16,0.07,-0.02,0.014,0.02
1963-09-18,-0.43,0.1,-0.27,-0.1,-0.16,0.014,-0.09
1963-09-19,0.52,-0.41,0.17,0.14,-0.01,0.014,-0.05
1963-09-20,0.04,-0.05,0.0,0.08,-0.37,0.014,0.45
1963-09-23,-0.5,-0.09,-0.21,0.12,0.14,0.014,-0.06
1963-09-24,0.35,-0.33,0.13,-0.04,0.08,0.014,0.27
1963-09-25,-0.58,-0.25,-0.1,-0.37,0.05,0.014,-0.19
1963-09-26,-0.81,0.47,-0.35,-0.06,0.19,0.014,-0.48
1963-09-27,-0.18,0.28,-0.23,0.19,0.06,0.014,-0.19
1963-09-30,-0.6,0.21,0.08,0.24,0.13,0.014,-0.56
1963-10-01,0.65,-0.21,0.25,-0.06,-0.23,0.013,0.36
1963-10-02,0.1,-0.13,-0.01,0.01,-0.06,0.013,0.14
1963-10-03,0.67,-0.27,0.87,-0.36,0.22,0.013,0.21
1963-10-04,0.0,-0.02,0.07,-0.02,0.14,0.013,0.06
1963-10-07,-0.23,0.16,-0.01,-0.19,-0.04,0.013,-0.07
1963-10-08,-0.14,0.16,0.29,0.0,-0.12,0.013,-0.09
1963-10-09,-0.61,0.16,-0.06,-0.02,0.18,0.013,-0.51
1963-10-10,0.08,-0.01,0.14,0.08,0.01,0.013,0.12
1963-10-11,0.13,0.34,0.07,-0.01,0.09,0.013,0.04
1963-10-14,0.05,-0.04,0.08,0.1,-0.14,0.013,0.31
1963-10-15,0.17,-0.28,0.13,0.07,-0.01,0.013,0.36
1963-10-16,0.89,-0.31,0.29,0.11,-0.44,0.013,0.68
1963-10-17,0.14,0.09,-0.25,0.22,0.14,0.013,0.03
1963-10-18,0.09,0.13,-0.24,0.19,-0.14,0.013,-0.08
1963-10-21,0.03,-0.24,-0.31,0.54,0.14,0.013,-0.02
1963-10-22,-0.54,0.34,-0.47,0.32,-0.36,0.013,-0.12
1963-10-23,0.03,-0.11,-0.06,0.08,-0.03,0.013,-0.03
1963-10-24,0.35,-0.07,0.45,0.09,-0.07,0.013,0.4
1963-10-25,0.85,-0.41,-0.85,0.6,-0.86,0.013,0.76
1963-10-28,0.41,-0.76,-0.29,0.66,-0.48,0.013,0.48
1963-10-29,-0.04,-0.24,-0.06,0.25,0.37,0.013,0.27
1963-10-30,-0.79,0.45,-0.08,-0.21,0.41,0.013,-0.42
1963-10-31,0.21,-0.03,0.08,0.1,-0.26,0.013,0.11
1963-11-01,-0.18,0.26,0.21,-0.22,0.14,0.015,0.06
1963-11-04,-0.43,0.05,0.37,-0.21,0.24,0.015,-0.35
1963-11-06,-0.77,0.11,0.24,-0.13,0.48,0.015,-0.64
1963-11-07,0.33,0.04,-0.03,-0.11,-0.23,0.015,0.11
1963-11-08,0.54,0.01,0.13,0.08,-0.08,0.015,0.22
1963-11-11,0.2,0.24,0.17,0.13,-0.05,0.015,0.3
1963-11-12,-0.37,0.26,-0.28,0.19,-0.23,0.015,-0.03
1963-11-13,0.05,0.04,-0.08,0.08,0.03,0.015,0.0
1963-11-14,-0.41,0.11,0.0,-0.12,0.39,0.015,-0.23
1963-11-15,-0.75,0.35,-0.01,-0.11,0.64,0.015,-0.64
1963-11-18,-0.74,0.13,-0.24,0.29,-0.04,0.015,-0.59
1963-11-19,0.1,-0.32,0.34,-0.14,0.05,0.015,0.1
1963-11-20,0.76,-1.0,-0.37,0.31,0.42,0.015,0.26
1963-11-21,-1.25,-0.1,0.02,-0.37,0.2,0.015,-0.67
1963-11-22,-2.9,-0.55,0.02,0.71,0.31,0.015,-1.76
1963-11-26,3.94,-1.28,0.95,-0.5,0.03,0.015,2.8
1963-11-27,-0.16,0.36,0.11,-0.05,-0.04,0.015,-0.01
1963-11-29,1.34,0.3,0.29,-0.31,-0.15,0.015,-0.09
1963-12-02,0.53,-0.34,-0.19,0.45,-0.28,0.014,0.58
1963-12-03,-0.05,-0.07,-0.18,0.14,0.15,0.014,0.22
1963-12-04,0.25,0.12,0.11,-0.14,0.2,0.014,0.01
1963-12-05,0.57,-0.73,0.1,-0.2,0.25,0.014,0.59
1963-12-06,-0.32,0.18,0.07,-0.15,-0.01,0.014,-0.33
1963-12-09,-0.11,0.01,-0.14,0.11,-0.33,0.014,0.17
1963-12-10,0.06,-0.12,0.2,0.21,0.17,0.014,0.37
1963-12-11,-0.14,0.01,0.12,-0.27,-0.22,0.014,-0.06
1963-12-12,-0.03,-0.16,-0.06,0.1,0.37,0.014,0.14
1963-12-13,0.16,-0.08,0.14,-0.16,-0.06,0.014,0.1
1963-12-16,0.25,-0.46,-0.01,0.03,-0.39,0.014,0.09
1963-12-17,0.44,-0.63,0.07,0.15,-0.58,0.014,0.36
1963-12-18,-0.18,-0.26,0.56,-0.4,0.6,0.014,-0.19
1963-12-19,-0.33,-0.08,-0.46,0.0,0.18,0.014,-0.3
1963-12-20,-0.2,-0.24,0.11,-0.1,0.26,0.014,-0.17
1963-12-23,-0.6,0.24,-0.05,-0.47,0.1,0.014,-0.29
1963-12-24,0.23,0.16,-0.12,0.25,-0.34,0.014,0.06
1963-12-26,0.47,0.1,0.07,-0.09,0.08,0.014,-0.36
1963-12-27,0.16,0.1,-0.14,-0.12,-0.1,0.014,-0.15
1963-12-30,0.1,-0.31,-0.19,0.5,-0.34,0.014,0.52
1963-12-31,0.56,0.44,-0.09,0.17,-0.22,0.014,-0.14
1964-01-02,0.6,0.65,0.57,-0.4,0.17,0.013,-0.1
1964-01-03,0.17,0.22,0.36,-0.31,0.22,0.013,-0.4
1964-01-06,0.23,0.08,0.02,-0.23,0.35,0.013,-0.15
1964-01-07,0.04,0.19,0.73,-0.41,0.8,0.013,-0.4
1964-01-08,0.34,0.06,-0.14,0.24,0.05,0.013,0.0
1964-01-09,0.3,-0.1,-0.35,0.45,-0.76,0.013,0.29
1964-01-10,-0.04,0.0,-0.11,0.15,0.04,0.013,-0.01
1964-01-13,-0.1,0.11,0.45,-0.26,0.43,0.013,0.06
1964-01-14,0.15,-0.23,0.66,-0.17,0.57,0.013,0.48
1964-01-15,0.24,-0.24,-0.11,0.0,-0.31,0.013,0.44
1964-01-16,-0.1,0.21,-0.33,-0.19,0.03,0.013,-0.01
1964-01-17,-0.02,0.28,-0.04,0.16,0.08,0.013,0.28
1964-01-20,-0.21,0.14,-0.54,0.42,-0.32,0.013,-0.2
1964-01-21,0.26,-0.43,0.05,0.11,0.12,0.013,0.05
1964-01-22,0.48,-0.23,0.43,-0.29,0.02,0.013,0.38
1964-01-23,0.09,-0.05,0.16,0.41,0.03,0.013,0.07
1964-01-24,0.04,0.32,0.19,-0.1,-0.18,0.013,0.34
1964-01-27,-0.11,-0.44,0.05,-0.34,0.23,0.013,-0.06
1964-01-28,-0.01,-0.23,0.15,-0.13,0.04,0.013,0.1
1964-01-29,-0.58,0.0,-0.2,-0.13,-0.07,0.013,-0.24
1964-01-30,0.04,0.09,-0.31,0.84,-0.09,0.013,0.33
1964-01-31,0.38,-0.33,-0.17,0.35,-0.28,0.013,0.0
1964-02-03,0.0,0.02,0.05,-0.3,0.1,0.014,-0.46
1964-02-04,-0.13,-0.28,-0.23,-0.11,0.28,0.014,-0.39
1964-02-05,-0.08,0.07,0.28,-0.01,0.37,0.014,0.05
1964-02-06,0.24,0.06,-0.23,0.04,0.06,0.014,0.44
1964-02-07,0.37,-0.06,0.14,0.08,0.36,0.014,-0.11
1964-02-10,-0.13,0.17,-0.2,0.13,-0.16,0.014,0.09
1964-02-11,0.33,-0.03,-0.14,0.21,0.38,0.014,-0.13
1964-02-12,0.3,0.03,0.19,-0.04,0.03,0.014,0.24
1964-02-13,0.08,-0.01,-0.07,0.13,-0.29,0.014,0.27
1964-02-14,-0.04,0.07,0.2,-0.2,-0.06,0.014,-0.14
1964-02-17,0.03,0.18,0.27,0.09,0.17,0.014,0.18
1964-02-18,0.01,-0.22,0.54,0.0,0.02,0.014,0.13
1964-02-19,0.11,-0.01,0.07,0.24,-0.22,0.014,-0.04
1964-02-20,0.09,0.04,0.73,-0.37,0.18,0.014,-0.03
1964-02-24,0.1,-0.03,0.43,-0.06,-0.02,0.014,0.16
1964-02-25,0.04,-0.11,0.17,0.09,-0.22,0.014,0.02
1964-02-26,0.28,0.18,0.22,0.12,0.02,0.014,0.05
1964-02-27,-0.27,0.15,-0.07,-0.04,0.15,0.014,-0.31
1964-02-28,0.21,0.05,0.42,-0.1,-0.25,0.014,-0.01
1964-03-02,0.22,0.0,0.34,-0.2,0.14,0.015,-0.27
1964-03-03,0.26,-0.35,-0.27,0.09,0.32,0.015,-0.24
1964-03-04,-0.2,0.02,-0.08,-0.45,0.08,0.015,0.03
1964-03-05,0.0,0.15,0.25,0.0,-0.1,0.015,0.09
1964-03-06,0.32,0.36,0.01,-0.02,0.08,0.015,-0.15
1964-03-09,0.01,0.03,0.45,-0.06,0.05,0.015,0.03
1964-03-10,0.28,-0.37,0.24,0.25,0.16,0.015,0.27
1964-03-11,0.4,-0.29,0.21,-0.11,0.35,0.015,0.23
1964-03-12,0.18,-0.04,0.15,-0.09,0.0,0.015,0.27
1964-03-13,0.09,0.13,0.09,-0.24,0.23,0.015,-0.11
1964-03-16,0.03,0.04,-0.23,-0.03,-0.23,0.015,-0.18
1964-03-17,0.19,0.01,0.26,-0.05,-0.02,0.015,0.07
1964-03-18,0.1,0.02,0.51,-0.4,0.36,0.015,0.03
1964-03-19,-0.09,0.1,0.02,0.11,-0.03,0.015,0.07
1964-03-20,-0.42,0.28,0.1,-0.21,0.29,0.015,-0.27
1964-03-23,0.01,0.29,-0.06,0.09,0.08,0.015,-0.06
1964-03-24,-0.18,0.12,0.31,-0.11,0.33,0.015,0.2
1964-03-25,0.24,0.29,0.6,-0.32,0.2,0.015,0.14
1964-03-26,0.26,0.18,0.69,-0.24,0.38,0.015,0.02
1964-03-30,-0.1,0.04,0.06,-0.11,0.41,0.015,-0.38
1964-03-31,-0.19,0.21,-0.3,0.01,-0.02,0.015,-0.14
1964-04-01,0.34,0.25,0.67,-0.1,0.12,0.013,0.04
1964-04-02,0.57,-0.01,0.28,0.22,0.23,0.013,0.31
1964-04-03,0.22,-0.06,-0.41,0.14,-0.06,0.013,-0.21
1964-04-06,0.07,0.14,0.24,-0.4,0.01,0.013,0.03
1964-04-07,-0.34,0.2,-0.46,-0.13,-0.36,0.013,-0.13
1964-04-08,0.01,0.39,0.18,0.02,0.07,0.013,0.12
1964-04-09,0.0,0.13,-0.16,0.13,0.05,0.013,0.18
1964-04-10,0.19,0.05,0.1,-0.16,-0.02,0.013,0.08
1964-04-13,-0.08,-0.08,-0.22,0.01,0.1,0.013,-0.22
1964-04-14,0.19,-0.21,-0.12,0.35,-0.31,0.013,-0.2
1964-04-15,0.11,-0.12,-0.56,-0.23,0.16,0.013,-0.32
1964-04-16,0.08,-0.15,-0.12,-0.18,0.04,0.013,0.04
1964-04-17,0.38,-0.2,0.27,0.17,-0.03,0.013,0.03
1964-04-20,-0.07,-0.16,-0.17,0.08,-0.17,0.013,-0.07
1964-04-21,-0.01,-0.21,-0.1,-0.04,-0.43,0.013,0.13
1964-04-22,-0.05,-0.2,0.2,-0.37,-0.11,0.013,-0.13
1964-04-23,-0.16,-0.36,-0.02,-0.37,-0.12,0.013,-0.26
1964-04-24,-0.77,-0.17,-0.42,0.32,-0.12,0.013,-0.48
1964-04-27,-0.54,-0.06,0.24,-0.38,0.14,0.013,-0.22
1964-04-28,0.64,-0.21,0.75,-0.31,0.0,0.013,0.55
1964-04-29,-0.4,-0.23,-0.73,-0.04,-0.61,0.013,-0.09
1964-04-30,-0.25,-0.25,-0.04,-0.14,0.16,0.013,-0.11
1964-05-01,0.78,-0.19,0.32,0.03,-0.19,0.013,0.68
1964-05-04,0.45,0.07,0.22,-0.22,-0.14,0.013,0.37
1964-05-05,0.46,-0.38,0.12,0.06,-0.68,0.013,0.37
1964-05-06,0.26,-0.19,0.18,-0.03,0.37,0.013,0.16
1964-05-07,0.11,-0.05,0.73,-0.12,0.67,0.013,0.09
1964-05-08,-0.18,0.03,0.11,-0.07,0.03,0.013,0.13
1964-05-11,-0.03,0.04,0.03,-0.09,0.0,0.013,0.06
1964-05-12,0.32,-0.19,0.01,0.13,0.11,0.013,0.41
1964-05-13,-0.25,0.01,-0.19,0.04,-0.14,0.013,0.08
1964-05-14,-0.11,0.27,-0.02,0.01,0.06,0.013,-0.13
1964-05-15,0.15,-0.23,-0.07,0.12,0.1,0.013,-0.06
1964-05-18,-0.33,0.03,-0.23,-0.02,-0.01,0.013,-0.35
1964-05-19,-0.44,0.35,-0.14,0.13,0.37,0.013,-0.03
1964-05-20,0.42,-0.17,0.41,0.08,-0.15,0.013,0.29
1964-05-21,0.07,-0.05,-0.21,0.25,-0.3,0.013,0.04
1964-05-22,0.05,0.21,0.05,0.09,-0.07,0.013,0.17
1964-05-25,-0.12,-0.05,0.1,0.11,0.01,0.013,0.05
1964-05-26,-0.17,0.11,0.14,-0.23,0.18,0.013,0.1
1964-05-27,-0.15,-0.31,0.23,-0.34,0.16,0.013,-0.17
1964-05-28,0.16,0.12,0.0,-0.14,0.13,0.013,0.08
1964-06-01,-0.35,0.04,0.02,-0.15,0.12,0.014,-0.22
1964-06-02,-0.52,-0.12,-0.1,0.0,0.03,0.014,-0.19
1964-06-03,-0.26,-0.06,0.16,-0.21,0.3,0.014,-0.04
1964-06-04,-1.03,-0.06,-0.33,0.13,0.2,0.014,-0.69
1964-06-05,0.42,-0.11,0.19,0.05,0.04,0.014,0.02
1964-06-08,-0.46,0.03,-0.17,0.07,-0.15,0.014,-0.26
1964-06-09,0.56,-0.19,0.46,0.21,0.2,0.014,0.46
1964-06-10,0.37,0.01,-0.19,0.24,-0.11,0.014,0.23
1964-06-11,0.3,-0.01,-0.37,0.12,-0.49,0.014,0.05
1964-06-12,-0.23,0.22,0.1,0.18,-0.05,0.014,0.14
1964-06-15,0.45,0.01,0.07,0.03,-0.11,0.014,0.0
1964-06-16,0.51,0.0,0.37,0.05,-0.06,0.014,0.22
1964-06-17,0.51,-0.09,0.15,-0.62,-0.19,0.014,-0.09
1964-06-18,0.0,0.06,0.06,-0.22,0.03,0.014,0.15
1964-06-19,0.1,0.03,0.1,0.04,-0.04,0.014,0.25
1964-06-22,0.25,-0.16,0.37,-0.37,-0.11,0.014,0.14
1964-06-23,-0.38,0.43,-0.26,0.13,0.13,0.014,-0.21
1964-06-24,0.35,0.01,0.23,-0.1,0.18,0.014,0.44
1964-06-25,0.2,0.03,-0.05,-0.09,0.24,0.014,-0.32
1964-06-26,0.26,0.28,0.13,-0.21,-0.02,0.014,0.05
1964-06-29,0.18,0.0,-0.16,0.11,0.15,0.014,0.03
1964-06-30,0.03,-0.09,-0.12,0.3,-0.34,0.014,-0.13
1964-07-01,0.62,-0.15,0.37,-0.25,-0.07,0.013,0.24
1964-07-02,0.39,0.05,-0.24,0.04,-0.24,0.013,0.13
1964-07-06,0.41,-0.13,-0.07,0.25,-0.18,0.013,0.12
1964-07-07,0.15,-0.13,0.12,0.21,0.13,0.013,-0.04
1964-07-08,0.02,0.02,0.1,-0.05,0.16,0.013,-0.03
1964-07-09,0.13,0.31,-0.12,-0.25,0.3,0.013,-0.27
1964-07-10,0.19,0.05,0.43,0.16,0.22,0.013,0.16
1964-07-13,-0.07,0.07,0.03,0.21,-0.11,0.013,-0.13
1964-07-14,-0.29,0.25,0.1,-0.33,0.29,0.013,-0.28
1964-07-15,0.37,-0.03,-0.34,0.27,0.03,0.013,0.02
1964-07-16,0.31,-0.21,0.21,-0.23,0.08,0.013,0.08
1964-07-17,0.44,-0.15,-0.28,0.26,0.01,0.013,0.19
1964-07-20,-0.31,0.18,0.08,-0.16,0.06,0.013,-0.11
1964-07-21,-0.19,0.12,-0.1,0.06,-0.08,0.013,-0.04
1964-07-22,0.02,0.0,0.0,0.09,0.31,0.013,0.05
1964-07-23,-0.03,0.13,0.12,0.02,0.1,0.013,0.09
1964-07-24,-0.03,0.12,-0.04,-0.02,0.16,0.013,-0.24
1964-07-27,-0.48,-0.06,0.28,-0.01,0.17,0.013,0.01
1964-07-28,-0.24,0.14,0.05,0.2,0.04,0.013,0.02
1964-07-29,0.13,-0.1,-0.03,0.2,-0.06,0.013,-0.16
